application;name;url;issue/bug#;commit;file;line(s);orig code;fixed code;effect of the bug;classification of run1 mutants;;;;;;;run1;run2;run3;run4;run5;NOTE;;;
;;;;;;;;;;original bug;"same failures
of original bug ";"superset of failures
of original bug";different failures;surviving;invalid;other;;;;;;;;;
css-loader;css-loader-663;https://github.com/webpack-contrib/css-loader;663;d1d8221;"
lib/url/escape.js";2;(inserted code);"    if (typeof url !== 'string') {
        return url
    }";"1 failing

  1) url module from null-loader (empty object from webpack):
     TypeError: url.replace is not a function
      at escape (lib/url/escape.js:12:26)
      at testcase.js:7:62
      at getEvaluated (test/helpers.js:12:3)
      at assetEvaluated (test/helpers.js:33:16)
      at test/helpers.js:72:4
      at Object.<anonymous> (lib/loader.js:135:3)
      at lib/processCss.js:211:3";0;2;1;0;0;0;0;"OrigBug: 0
SameFail: 2
Superset: 1
Different: 0
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 2
Superset: 1
Different: 0
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 2
Superset: 1
Different: 0
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 2
Superset: 1
Different: 0
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 1
Superset: 2
Different: 0
Surviving: 0
Invalid: 0
Other: 0";use Node v16, disable linter;;;
css-loader;css-loader-789;https://github.com/webpack-contrib/css-loader;789;e3bb83a;"
lib/css-base.js";"28
====
37";"			if(typeof id === ""number"")
====
			if(typeof item[0] !== ""number"" || !alreadyImportedModules[item[0]]) {";"if(id != null)
====
			if(item[0] == null || !alreadyImportedModules[item[0]]) {";"1 failing

  1) css-base should import named modules:

      AssertionError: expected '@media print{body { b: 2; }}body { c: 3; }@media print{body { b: 2; }}@media print{body { b: 2; }}@media print{body { d: 4; }}@media screen{body { a: 1; }}' to equal 'body { b: 2; }body { c: 3; }@media print{body { d: 4; }}@media screen{body { a: 1; }}'
      + expected - actual

      -@media print{body { b: 2; }}body { c: 3; }@media print{body { b: 2; }}@media print{body { b: 2; }}@media print{body { d: 4; }}@media screen{body { a: 1; }}
      +body { b: 2; }body { c: 3; }@media print{body { d: 4; }}@media screen{body { a: 1; }}
      
      at Assertion.fail (node_modules/should/cjs/should.js:258:17)
      at Assertion.value (node_modules/should/cjs/should.js:335:19)
      at Context.<anonymous> (test/cssBaseTest.js:65:26)
      at processImmediate (node:internal/timers:466:21)
====
1 failing

  1) css-base should import named modules:

      AssertionError: expected '@media print{body { b: 2; }}body { c: 3; }@media print{body { b: 2; }}@media print{body { b: 2; }}@media print{body { d: 4; }}@media screen{body { a: 1; }}' to equal 'body { b: 2; }body { c: 3; }@media print{body { d: 4; }}@media screen{body { a: 1; }}'
      + expected - actual

      -@media print{body { b: 2; }}body { c: 3; }@media print{body { b: 2; }}@media print{body { b: 2; }}@media print{body { d: 4; }}@media screen{body { a: 1; }}
      +body { b: 2; }body { c: 3; }@media print{body { d: 4; }}@media screen{body { a: 1; }}
      
      at Assertion.fail (node_modules/should/cjs/should.js:258:17)
      at Assertion.value (node_modules/should/cjs/should.js:335:19)
      at Context.<anonymous> (test/cssBaseTest.js:65:26)
      at processImmediate (node:internal/timers:466:21)";0;0;5;1;0;0;0;"OrigBug: 0
SameFail: 0
Superset: 5
Different: 1
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 2
Different: 3
Surviving: 1
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 1
Superset: 2
Different: 2
Surviving: 1
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 3
Different: 2
Surviving: 1
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 3
Different: 2
Surviving: 1
Invalid: 0
Other: 0";use Node v16, disable linter;;;
css-loader;css-loader-1036;https://github.com/webpack-contrib/css-loader;1036;ded2a79;src/runtime/api.js;60;"const sourceURLs = cssMapping.sources.map(
      (source) => `/*# sourceURL=${cssMapping.sourceRoot}${source} */`
    );";"const sourceURLs = cssMapping.sources.map(
      (source) => `/*# sourceURL=${cssMapping.sourceRoot || ''}${source} */`
    );";" FAIL  test/runtime/api.test.js

  ● api › should toString with a source map without ""sourceRoot""

    expect(received).toMatchSnapshot()

    Snapshot name: `api should toString with a source map without ""sourceRoot"" 1`

    - Snapshot
    + Received

      body { a: 1; }
    - /*# sourceURL=./path/to/test.scss */
    + /*# sourceURL=undefined./path/to/test.scss */
      /*# sourceMappingURL=data:application/json;charset=utf-8;base64,eyJmaWxlIjoidGVzdC5zY3NzIiwic291cmNlcyI6WyIuL3BhdGgvdG8vdGVzdC5zY3NzIl0sIm1hcHBpbmdzIjoiQUFBQTsifQ== */

      136 |     ]);
      137 | 
    > 138 |     expect(m.toString()).toMatchSnapshot();
          |                          ^
      139 |   });
      140 | });
      141 | 

      at Object.<anonymous> (test/runtime/api.test.js:138:26)
      at processTicksAndRejections (node:internal/process/task_queues:96:5)


 › 1 snapshot failed.";0;4;0;0;2;0;0;"OrigBug: 0
SameFail: 4
Superset: 0
Different: 0
Surviving: 2
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 4
Superset: 0
Different: 0
Surviving: 2
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 3
Superset: 0
Different: 0
Surviving: 2
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 4
Superset: 0
Different: 1
Surviving: 1
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 3
Superset: 0
Different: 0
Surviving: 1
Invalid: 0
Other: 0";use Node v16, disable linter;;;
css-loader;css-loader-1261;https://github.com/webpack-contrib/css-loader;1261;729a314;src/utils.js;"88
====
91";"    return decodeURIComponent(normalizedUrl);
====
return decodeURIComponent(unescape(normalizedUrl));";"return decodeURI(normalizedUrl);
====
return decodeURI(unescape(normalizedUrl));";"no effect
====
 FAIL  test/loader.test.js (5.66 s)
  ● Console

    console.warn
      Browserslist: caniuse-lite is outdated. Please run:
      npx browserslist@latest --update-db
      
      Why you should do it regularly:
      https://github.com/browserslist/browserslist#browsers-data-updating

      11 |   const { spy = jest.fn() } = this.query;
      12 |
    > 13 |   postcss([postcssPresetEnv({ stage: 0 })])
         |            ^
      14 |     .process(content, {
      15 |       // eslint-disable-next-line no-undefined
      16 |       from: undefined,

      at Object.oldDataWarning (node_modules/browserslist/node.js:373:15)
      at browserslist (node_modules/browserslist/index.js:432:7)
      at node_modules/postcss-preset-env/src/postcss.js:87:28
      at creator (node_modules/postcss-preset-env/node_modules/postcss/lib/postcss.es6:111:34)
      at Object.astLoader (test/helpers/ast-loader.js:13:12)
      at LOADER_EXECUTION (node_modules/loader-runner/lib/LoaderRunner.js:132:14)
      at runSyncOrAsync (node_modules/loader-runner/lib/LoaderRunner.js:133:4)
      at iterateNormalLoaders (node_modules/loader-runner/lib/LoaderRunner.js:250:2)

  ● loader › should pass queries to other loader

    expect(received).toMatchSnapshot(hint)

    Snapshot name: `loader should pass queries to other loader: module 1`

    - Snapshot  - 2
    + Received  + 2

      // Imports
      import ___CSS_LOADER_API_IMPORT___ from ""../../src/runtime/api.js"";
      import ___CSS_LOADER_GET_URL_IMPORT___ from ""../../src/runtime/getUrl.js"";
    - import ___CSS_LOADER_URL_IMPORT_0___ from ""./url/image.svg?color=%23BAAFDB%3F"";
    + import ___CSS_LOADER_URL_IMPORT_0___ from ""./url/image.svg?color="";
      var ___CSS_LOADER_EXPORT___ = ___CSS_LOADER_API_IMPORT___(function(i){return i[1]});
    - var ___CSS_LOADER_URL_REPLACEMENT_0___ = ___CSS_LOADER_GET_URL_IMPORT___(___CSS_LOADER_URL_IMPORT_0___, { hash: ""#foo"" });
    + var ___CSS_LOADER_URL_REPLACEMENT_0___ = ___CSS_LOADER_GET_URL_IMPORT___(___CSS_LOADER_URL_IMPORT_0___, { hash: ""#BAAFDB"" });
      // Module
      ___CSS_LOADER_EXPORT___.push([module.id, "".example {\n    background-image: url("" + ___CSS_LOADER_URL_REPLACEMENT_0___ + "");\n}\n"", """"]);
      // Exports
      export default ___CSS_LOADER_EXPORT___;
      ↵

      502 |     const stats = await compile(compiler);
      503 |
    > 504 |     expect(getModuleSource(""./other-loader-query.css"", stats)).toMatchSnapshot(
          |                                                                ^
      505 |       ""module""
      506 |     );
      507 |     expect(getExecutedCode(""main.bundle.js"", compiler, stats)).toMatchSnapshot(

      at Object.<anonymous> (test/loader.test.js:504:64)

 › 1 snapshot failed.
 › 3 snapshots obsolete.
   • loader should pass queries to other loader: errors 1
   • loader should pass queries to other loader: result 1
   • loader should pass queries to other loader: warnings 1";0;0;0;5;5;1;0;"OrigBug: 0
SameFail: 0
Superset: 0
Different: 5
Surviving: 5
Invalid: 1
Other: 0";"OrigBug: 1*
SameFail: 0
Superset: 0
Different: 5
Surviving: 3
Invalid: 1
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 7
Surviving: 6
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 6
Surviving: 4
Invalid: 1
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 6
Surviving: 6
Invalid: 0
Other: 0";use Node v16, disable linter;;;
compression;compression-170;https://github.com/expressjs/compression;170;b7d5d77;index.js;"84
====
103";"this._implicitHeader()
====
this._implicitHeader()";"this.writeHead(this.statusCode)
====
this.writeHead(this.statusCode)";"no effect
====
1 failing

  1) compression()
       http2
         should work with http2 server:
     Uncaught TypeError: this._implicitHeader is not a function
      at Http2ServerResponse.end (index.js:103:14)
      at /Users/franktip/git/mutation-testing-data/casestudy/compression-170/compression/test/compression.js:322:13
      at /Users/franktip/git/mutation-testing-data/casestudy/compression-170/compression/test/compression.js:732:7
      at compression (index.js:215:5)
      at Http2Server.<anonymous> (test/compression.js:725:5)
      at Http2Server.emit (node:events:524:28)
      at Http2Server.onServerStream (node:internal/http2/compat:974:10)
      at Http2Server.emit (node:events:524:28)
      at ServerHttp2Session.sessionOnStream (node:internal/http2/core:3035:19)
      at ServerHttp2Session.emit (node:events:524:28)
      at emit (node:internal/http2/core:332:3)
      at process.processTicksAndRejections (node:internal/process/task_queues:85:22)";0;0;0;5;5;0;0;"OrigBug: 0
SameFail: 0
Superset: 0
Different: 5
Surviving: 5
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 3
Surviving: 5
Invalid: 0
Other: 1";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 4
Surviving: 3
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 4
Surviving: 4
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 0
Superset: 0
Different: 8
Surviving: 1
Invalid: 0
Other: 0";;;;
countries-and-timezones;countries-and-timezones-60;"https://github.com/manuelmhtr/
countries-and-timezones";60;97a106f;src/build-timezone.js;30;"  const hours = Math.floor(Math.abs(offset) / 60);";"const hours = Math.floor(offset / 60);";"1 failing

  1) .getTimezone
       calculates utcOffsetStr correctly when is not a module of 60:

      AssertionError: expected '-10:30' to deeply equal '-09:30'
      + expected - actual

      --10:30
      +-09:30
      ";1;3;0;4;2;0;0;"OrigBug: 1
SameFail: 3
Superset: 0
Different: 4
Surviving: 2
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 3
Superset: 0
Different: 6
Surviving: 0
Invalid: 1
Other: 0";"OrigBug: 0
SameFail: 2
Superset: 0
Different: 6
Surviving: 2
Invalid: 0
Other: 0";"OrigBug: 0
SameFail: 4
Superset: 0
Different: 6
Surviving: 0
Invalid: 1
Other: 0";"OrigBug: 0
SameFail: 3
Superset: 0
Different: 5
Surviving: 1
Invalid: 0
Other: 0";;;;
express.js;express.js-2;https://bugsjs.github.io/;2;N/A;lib /request.js;361;if (!trust(this.connection.remoteAddress));if (!trust(this.connection.remoteAddress, 0));see json file;1;0;2;0;0;0;0;"OrigBug: 1
SameFail: 0
Superset: 2
Different: 0
Surviving: 0
Invalid: 0
Other: 0";"OrigBug: 1
SameFail: 0
Superset: 1
Different: 1
Surviving: 1
Invalid: 0
Other: 0";"OrigBug: 1
SameFail: 1
Superset: 2
Different: 1
Surviving: 2
Invalid: 0
Other: 0";"OrigBug: 1
SameFail: 0
Superset: 2
Different: 0
Surviving: 1
Invalid: 0
Other: 0";"OrigBug: 1
SameFail: 2
Superset: 2
Different: 0
Surviving: 0
Invalid: 0
Other: 0";;;;
fast-glob;fast-glob-223;https://github.com/mrmlnc/fast-glob;223;05a4c08;src/utils/pattern.ts ;17;"return isGlob(pattern, { strict: false });";"return isGlob(pattern, { strict: false }) || pattern.indexOf(ESCAPE_SYMBOL) !== -1;";"1 failing

  1) Utils → Pattern
       .isDynamicPattern
         should return true for pattern with escape symbol:

      AssertionError [ERR_ASSERTION]: The expression evaluated to a falsy value:

  assert.ok(actual)

      + expected - actual

      -false
      +true
      
      at Context.<anonymous> (out/utils/pattern.spec.js:27:20)
      at process.processImmediate (node:internal/timers:483:21)";0;2;0;7;4;3;0;"OrigBug: 0
SameFail: 2
Superset: 0
Different: 7
Surviving: 4
Invalid: 3
Other: 0";"OrigBug: 0
SameFail: 2
Superset: 0
Different: 6
Surviving: 4
Invalid: 4
Other: 0";"OrigBug: 0
SameFail: 2
Superset: 0
Different: 6
Surviving: 4
Invalid: 4
Other: 0";"OrigBug: 0
SameFail: 2
Superset: 0
Different: 7
Surviving: 4
Invalid: 4
Other: 0";"OrigBug: 0
SameFail: 2
Superset: 0
Different: 7
Surviving: 4
Invalid: 3
Other: 0";;;;
fast-glob;fast-glob-391;https://github.com/mrmlnc/fast-glob;391;eb55d1d;src/providers/filters/entry.ts;12;"const negativeRe = utils.pattern.convertPatternsToRe(negative, this._micromatchOptions);";"const negativeRe = utils.pattern.convertPatternsToRe(negative, {
			...this._micromatchOptions,
			dot: true
		});";"  1 failing

  1) Providers → Filters → Entry
       .getFilter
         Pattern
           should reject a hidden entry by negative pattern even when the dot options is disabled:

      AssertionError [ERR_ASSERTION]: Expected values to be strictly equal:

true !== false

      + expected - actual

      -true
      +false
      
      at reject (out/providers/filters/entry.spec.js:29:12)
      at Context.<anonymous> (out/providers/filters/entry.spec.js:192:17)
      at process.processImmediate (node:internal/timers:483:21)";0;3;1;1;0;3;0;"OrigBug: 0
SameFail: 3
Superset: 1
Different: 1
Surviving: 0
Invalid: 3
Other: 0";"OrigBug: 0
SameFail: 3
Superset: 1
Different: 0
Surviving: 0
Invalid: 4
Other: 0";"OrigBug: 0
SameFail: 3
Superset: 1
Different: 2
Surviving: 0
Invalid: 2
Other: 0";"OrigBug: 0
SameFail: 2
Superset: 1
Different: 1
Surviving: 0
Invalid: 4
Other: 0";"OrigBug: 0
SameFail: 2
Superset: 1
Different: 1
Surviving: 0
Invalid: 6
Other: 0";;;;
