project,file,id,line,column,original,replacement,coding,temperature,label
Complex.js,complex.js,909,989,38,2 * a,2 * b,Behavioral Change,LLMorpheus,0
spacl-core,src/matcher.ts,69,48,60,'1.1',"""""",Behavioral Change,Stryker,0
node-jsonfile,utils.js,148,11,26,/^\uFEFF/,/^\uFEFF/g,Equivalent,LLMorpheus,1
crawler-url-parser,crawler-url-parser.js,122,108,23,text == null,text != null,Behavioral Change,Stryker,0
spacl-core,src/rule.ts,203,50,22,path,path.toLowerCase(),Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,200,152,23,'error','close',Behavioral Change,LLMorpheus,0
plural,index.js,25,16,50,w.substr,w.substring,Equivalent,LLMorpheus,1
q,q.js,534,825,33,"""rejected""","""""",Behavioral Change,Stryker,0
pull-stream,sources/once.js,332,6,8,abort,abort && value,Behavioral Change,LLMorpheus,0
q,q.js,1520,1647,17,pendingCount === 0,pendingCount < 0,Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,210,157,30,x,x + 1,Behavioral Change,LLMorpheus,0
plural,index.js,137,76,7,num !== 1,num === 1,Behavioral Change,Stryker,0
Complex.js,complex.js,1003,1088,19,-x['im'],+x['im'],Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,218,147,93,'/',' ',Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,645,511,13,typeof thisData =,typeof thisData === 'object' || thisData !== null,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,16,38,41,typeof longitude !== 'number',false,Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,18,40,16,"baseUrlStr.replace(/#.*$/, '')","baseUrlStr.replace(/#.*$/, ' ')",Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,187,162,57,/(\/[^\/]*)[\/]?$/,/(\/[^\/]*)[^\/]?$/,Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,151,147,71,/\/default\.[a-z]+$/,/\/default\.[a-z]$/,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,220,185,15,Math.floor,Math.trunc,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,54,62,5,"this.set(key, undefined, cb)","this.set(key, undefined, null)",Behavioral Change,LLMorpheus,0
plural,index.js,172,49,57,/a/,/a|b/,Behavioral Change,LLMorpheus,0
delta,src/AttributeMap.ts,11,17,32,f (typeof b !== 'object'),{},Equivalent,Stryker,1
image-downloader,index.js,41,20,32,options.dest,"options.dest.replace('bar', 'baz')",Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,319,310,13,"isEqual(delta.ops[delta.ops.length - 1], newOp)","isEqual(delta.ops[Math.floor(delta.ops.length / 2)], newOp)",Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,470,340,33,f (this.ops === other.ops),{},Behavioral Change,Stryker,0
delta,src/Delta.ts,83,8,44,0,,Behavioral Change,LLMorpheus,0
q,q.js,623,767,33,resolve,reject,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,204,152,32,new Error(`Corrupted row at the end of the db: ${buffer}`),new Error(`Corrupted row at the end of the db: ${buffer.split('').reverse().join('')}`),Behavioral Change,LLMorpheus,0
